Project,Class,Pattern,URL
ChenSun,FailoverConnectionProxy,Proxy,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/FailoverConnectionProxy.java
ChenSun,CallableStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/CallableStatementWrapper.java
ChenSun,ConnectionWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/ConnectionWrapper.java
ChenSun,JDBC4CallableStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4CallableStatementWrapper.java
ChenSun,JDBC4ConnectionWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4ConnectionWrapper.java
ChenSun,JDBC4PreparedStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4PreparedStatementWrapper.java
ChenSun,JDBC4StatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4StatementWrapper.java
ChenSun,MysqlDataSourceFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/MysqlDataSourceFactory.java
ChenSun,PreparedStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/PreparedStatementWrapper.java
ChenSun,StatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/StatementWrapper.java
ChenSun,WrapperBase,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/WrapperBase.java
ChenSun,NamedPipeSocketFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/NamedPipeSocketFactory.java
ChenSun,NoSubInterceptorWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/NoSubInterceptorWrapper.java
ChenSun,ProfilerEventHandlerFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/ProfilerEventHandlerFactory.java
ChenSun,ReflectiveStatementInterceptorAdapter,Adapter,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/ReflectiveStatementInterceptorAdapter.java
ChenSun,SocketFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/SocketFactory.java
ChenSun,StandardSocketFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/StandardSocketFactory.java
ChenSun,V1toV2StatementInterceptorAdapter,Adapter,https://github.com/ms969/ChenSun/blob/master/Phase2/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/V1toV2StatementInterceptorAdapter.java
ChenSun,UnreliableSocketFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/testsuite/UnreliableSocketFactory.java
ChenSun,CallableStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/CallableStatementWrapper.java
ChenSun,ConnectionWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/ConnectionWrapper.java
ChenSun,JDBC4CallableStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4CallableStatementWrapper.java
ChenSun,JDBC4ConnectionWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4ConnectionWrapper.java
ChenSun,JDBC4PreparedStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4PreparedStatementWrapper.java
ChenSun,JDBC4StatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/JDBC4StatementWrapper.java
ChenSun,MysqlDataSourceFactory,Factory,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/MysqlDataSourceFactory.java
ChenSun,PreparedStatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/Phase2/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/PreparedStatementWrapper.java
ChenSun,StatementWrapper,Wrapper,https://github.com/ms969/ChenSun/blob/master/Phase2/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/jdbc2/optional/StatementWrapper.java
ChenSun,LoadBalancingConnectionProxy,Proxy,https://github.com/ms969/ChenSun/blob/master/CS5430/jars/mysql-connector-java-5.1.18/src/com/mysql/jdbc/LoadBalancingConnectionProxy.java
